A100000000001123456789000000000000123&OF1.31&                                                  
B110000000002         99999999       99999999                                          ~9~            ~9~                                                                                                                                                                            +00000000000000+00000011292110+0000000000000000000000000001      +00000000000000                   
C100000000003         30500111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000084090+00000000000000+000000000084090+000000000014295+000000000098385+0000000000099999999                 0202509131      1        0000001             
C100000000004         30500109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000052928+00000000000000+000000000052928+000000000008997+000000000061925+0000000000099999999                 0202509131      1        0000002             
C100000000005         40000111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000036573+00000000000000+000000000036573+000000000006217+000000000042790+0000000000099999999                 0202509131      1        0000003             
C100000000006         40000109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000022154+00000000000000+000000000022154+000000000003766+000000000025920+0000000000099999999                 0202509131      1        0000004             
C100000000007         30500108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000005139+00000000000000+000000000005139+000000000000873+000000000006012+0000000000099999999                 0202509131      1        0000005             
C100000000008         30500115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000071720+00000000000000+000000000071720+000000000012192+000000000083912+0000000000099999999                 0202509131      1        0000006             
C100000000009         30500112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000075423+00000000000000+000000000075423+000000000012821+000000000088244+0000000000099999999                 0202509131      1        0000007             
C100000000010         40000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000093873+00000000000000+000000000093873+000000000015958+000000000109831+0000000000099999999                 0202509131      1        0000008             
C100000000011         40000115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000004121+00000000000000+000000000004121+000000000000700+000000000004821+0000000000099999999                 0202509131      1        0000009             
C100000000012         40000112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000072711+00000000000000+000000000072711+000000000012360+000000000085071+0000000000099999999                 0202509131      1        0000010             
C100000000013         40000113000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000053134+00000000000000+000000000053134+000000000009032+000000000062166+0000000000099999999                 0202509131      1        0000011             
C100000000014         40000114000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000027825+00000000000000+000000000027825+000000000004730+000000000032555+0000000000099999999                 0202509131      1        0000012             
